EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
607664,4911.00000000,2506757,60.00000000,20170107
607665,4991.00000000,2508771,60.00000000,20170107
607666,4699.00000000,2506758,60.00000000,20170107
607667,5042.00000000,2507755,60.00000000,20170107
607668,5024.00000000,2506759,60.00000000,20170107
607669,4907.00000000,2506760,60.00000000,20170107
607670,4978.00000000,2508772,60.00000000,20170107
607671,5025.00000000,2507756,60.00000000,20170107
607672,4887.00000000,2507757,60.00000000,20170107
607673,4854.00000000,2508773,60.00000000,20170107
607690,3342.00000000,2506761,30.00000000,20170107
607695,3580.00000000,2507758,30.00000000,20170107
607700,4238.00000000,2506762,30.00000000,20170107
608765,12945.00000000,2508774,120.00000000,20170111
608769,12890.00000000,2507759,120.00000000,20170111
608796,12933.00000000,2506763,120.00000000,20170111
608800,13196.00000000,2506764,120.00000000,20170111
608827,12798.00000000,2506765,120.00000000,20170111
608831,12232.00000000,2506766,120.00000000,20170111
608858,13471.00000000,2506767,120.00000000,20170111
608862,14153.00000000,2507760,120.00000000,20170111
608889,14107.00000000,2506768,120.00000000,20170111
608893,14005.00000000,2508775,120.00000000,20170111
608920,15604.00000000,2507761,120.00000000,20170111
608924,15587.00000000,2508776,120.00000000,20170111
608951,14773.00000000,2506769,120.00000000,20170111
608955,15495.00000000,2508777,120.00000000,20170111
608957,9095.00000000,2507762,30.00000000,20170111
608958,8406.00000000,2508778,30.00000000,20170111
608959,9065.00000000,2508779,30.00000000,20170111
608960,8616.00000000,2506770,30.00000000,20170111
608961,8572.00000000,2507763,30.00000000,20170111
608962,8269.00000000,2506771,30.00000000,20170111
608963,8832.00000000,2506772,30.00000000,20170111
608964,9168.00000000,2506773,30.00000000,20170111
608965,9367.00000000,2507764,30.00000000,20170111
608966,8817.00000000,2506774,30.00000000,20170111
608967,9181.00000000,2506775,30.00000000,20170111
608968,9099.00000000,2508780,30.00000000,20170111
608969,8913.00000000,2506776,30.00000000,20170111
608970,8118.00000000,2506777,30.00000000,20170111
608971,9167.00000000,2506778,30.00000000,20170111
608972,9263.00000000,2506779,30.00000000,20170111
608973,9405.00000000,2507765,30.00000000,20170111
608974,8734.00000000,2507766,30.00000000,20170111
608975,9415.00000000,2507767,30.00000000,20170111
608976,8194.00000000,2508781,30.00000000,20170111
608977,8332.00000000,2508782,30.00000000,20170111
608978,8707.00000000,2507768,30.00000000,20170111
608982,15556.00000000,2507769,120.00000000,20170111
608986,15609.00000000,2508783,120.00000000,20170111
609013,15420.00000000,2506780,120.00000000,20170111
609017,14480.00000000,2506781,120.00000000,20170111
609022,4744.00000000,2506782,60.00000000,20170111
609027,4381.00000000,2508784,60.00000000,20170111
609032,4778.00000000,2506783,60.00000000,20170111
609036,13040.00000000,2507770,120.00000000,20170111
609040,13881.00000000,2508785,120.00000000,20170111
609045,4606.00000000,2506784,60.00000000,20170111
609050,5043.00000000,2507771,60.00000000,20170111
609052,8568.00000000,2508786,30.00000000,20170111
609053,8540.00000000,2508787,30.00000000,20170111
609054,8267.00000000,2506785,30.00000000,20170111
609055,7612.00000000,2507772,30.00000000,20170111
609056,7531.00000000,2507773,30.00000000,20170111
609057,7883.00000000,2507774,30.00000000,20170111
609058,7467.00000000,2506786,30.00000000,20170111
609059,8139.00000000,2507775,30.00000000,20170111
609060,8085.00000000,2506787,30.00000000,20170111
609061,7037.00000000,2506788,30.00000000,20170111
609062,7660.00000000,2507776,30.00000000,20170111
609063,6753.00000000,2506789,30.00000000,20170111
609064,7353.00000000,2507777,30.00000000,20170111
609065,6826.00000000,2508788,30.00000000,20170111
609066,6349.00000000,2507778,30.00000000,20170111
609067,6963.00000000,2506790,30.00000000,20170111
609068,6914.00000000,2506791,30.00000000,20170111
609069,7489.00000000,2508789,30.00000000,20170111
609070,7207.00000000,2506792,30.00000000,20170111
609071,7217.00000000,2506793,30.00000000,20170111
609072,6943.00000000,2507779,30.00000000,20170111
609073,7181.00000000,2507780,30.00000000,20170111
609077,12834.00000000,2508790,120.00000000,20170111
609081,12217.00000000,2506794,120.00000000,20170111
609086,6302.00000000,2507781,60.00000000,20170111
609091,4793.00000000,2508791,60.00000000,20170111
609096,5065.00000000,2508792,60.00000000,20170111
613878,22812.00000000,2508793,40.00000000,20170127
613880,21607.00000000,2506795,40.00000000,20170127
613882,22730.00000000,2506796,40.00000000,20170127
614206,94361.00000000,2506797,400.00000000,20170128
614208,107766.00000000,2507782,400.00000000,20170128
614210,95507.00000000,2506798,400.00000000,20170128
614212,89052.00000000,2508794,400.00000000,20170128
614214,86376.00000000,2507783,400.00000000,20170128
614230,78468.00000000,2508795,400.00000000,20170128
614235,21742.00000000,2507784,40.00000000,20170128
614239,19595.00000000,2508796,40.00000000,20170128
614520,90158.00000000,2506799,500.00000000,20170129
614521,89596.00000000,2508797,500.00000000,20170129
614522,90347.00000000,2507785,500.00000000,20170129
614523,90028.00000000,2506800,500.00000000,20170129
614532,119190.00000000,2506801,400.00000000,20170129
614533,122621.00000000,2506802,400.00000000,20170129
614534,125938.00000000,2506803,400.00000000,20170129
614535,260612.00000000,2506804,400.00000000,20170129
614536,250400.00000000,2508798,400.00000000,20170129
614537,252100.00000000,2508799,400.00000000,20170129
614538,155887.00000000,2507786,400.00000000,20170129
614539,148892.00000000,2508800,400.00000000,20170129
614540,151885.00000000,2508801,400.00000000,20170129
614541,118381.00000000,2508802,400.00000000,20170129
614542,117720.00000000,2506805,400.00000000,20170129
614543,116705.00000000,2507787,400.00000000,20170129
614544,236705.00000000,2508803,400.00000000,20170129
614546,220610.00000000,2507788,400.00000000,20170129
614547,230007.00000000,2508804,400.00000000,20170129
614548,90828.00000000,2508805,400.00000000,20170129
614552,93989.00000000,2507789,400.00000000,20170129
614556,94070.00000000,2508806,400.00000000,20170129
614560,87732.00000000,2507790,400.00000000,20170129
614564,81093.00000000,2508807,400.00000000,20170129
619886,19022.00000000,2508808,120.00000000,20170212
619890,19043.00000000,2508809,120.00000000,20170212
619894,18608.00000000,2508810,120.00000000,20170212
619898,18465.00000000,2507791,120.00000000,20170212
619911,14901.00000000,2507792,120.00000000,20170212
619915,16172.00000000,2508811,120.00000000,20170212
619919,16017.00000000,2507793,120.00000000,20170212
619923,16790.00000000,2508812,120.00000000,20170212
619933,16380.00000000,2508813,120.00000000,20170212
619937,16369.00000000,2507794,120.00000000,20170212
619941,16898.00000000,2507795,120.00000000,20170212
619945,16573.00000000,2507796,120.00000000,20170212
619952,16154.00000000,2506806,120.00000000,20170212
619956,16004.00000000,2507797,120.00000000,20170212
619960,15304.00000000,2507798,120.00000000,20170212
619964,15458.00000000,2506807,120.00000000,20170212
619971,16723.00000000,2507799,120.00000000,20170212
619975,17234.00000000,2508814,120.00000000,20170212
619979,16734.00000000,2506808,120.00000000,20170212
619983,17106.00000000,2508815,120.00000000,20170212
619989,16562.00000000,2506809,120.00000000,20170212
619993,16895.00000000,2508816,120.00000000,20170212
619997,16536.00000000,2506810,120.00000000,20170212
620001,16872.00000000,2506811,120.00000000,20170212
620005,16671.00000000,2507800,120.00000000,20170212
620009,16393.00000000,2507801,120.00000000,20170212
620013,16770.00000000,2507802,120.00000000,20170212
620017,16597.00000000,2507803,120.00000000,20170212
620023,16744.00000000,2506812,120.00000000,20170212
620027,16626.00000000,2508817,120.00000000,20170212
620031,15845.00000000,2508818,120.00000000,20170212
620035,15224.00000000,2508819,120.00000000,20170212
620039,15623.00000000,2507804,120.00000000,20170212
620043,14922.00000000,2507805,120.00000000,20170212
620047,14754.00000000,2507806,120.00000000,20170212
620051,13819.00000000,2507807,120.00000000,20170212
620057,15127.00000000,2508820,120.00000000,20170212
620061,14679.00000000,2506813,120.00000000,20170212
620065,14799.00000000,2506814,120.00000000,20170212
620069,14726.00000000,2508821,120.00000000,20170212
620073,15141.00000000,2508822,120.00000000,20170212
620077,15372.00000000,2507808,120.00000000,20170212
620620,9857.00000000,2507809,30.00000000,20170214
620621,9868.00000000,2507810,30.00000000,20170214
620622,9368.00000000,2507811,30.00000000,20170214
620623,9900.00000000,2508823,30.00000000,20170214
620624,10605.00000000,2508824,30.00000000,20170214
620625,10451.00000000,2506815,30.00000000,20170214
620626,10803.00000000,2506816,30.00000000,20170214
620627,10278.00000000,2508825,30.00000000,20170214
620628,10594.00000000,2508826,30.00000000,20170214
620629,10805.00000000,2508827,30.00000000,20170214
620630,10607.00000000,2507812,30.00000000,20170214
620631,11006.00000000,2506817,30.00000000,20170214
620632,11236.00000000,2506818,30.00000000,20170214
620633,10336.00000000,2508828,30.00000000,20170214
620634,11176.00000000,2506819,30.00000000,20170214
620635,11379.00000000,2508829,30.00000000,20170214
620636,11886.00000000,2507813,30.00000000,20170214
620637,10733.00000000,2506820,30.00000000,20170214
620638,11760.00000000,2507814,30.00000000,20170214
620639,11227.00000000,2508830,30.00000000,20170214
620640,11605.00000000,2506821,30.00000000,20170214
620641,11347.00000000,2506822,30.00000000,20170214
620642,11507.00000000,2508831,30.00000000,20170214
620643,11433.00000000,2508832,30.00000000,20170214
620644,11965.00000000,2506823,30.00000000,20170214
620645,11910.00000000,2506824,30.00000000,20170214
620646,11815.00000000,2507815,30.00000000,20170214
620647,12214.00000000,2508833,30.00000000,20170214
620648,11261.00000000,2506825,30.00000000,20170214
620649,11505.00000000,2507816,30.00000000,20170214
620650,12035.00000000,2507817,30.00000000,20170214
622356,20951.00000000,2508834,300.00000000,20170218
622357,17068.00000000,2507818,300.00000000,20170218
622358,16392.00000000,2506826,300.00000000,20170218
627569,14093.00000000,2506827,60.00000000,20170308
627574,6628.00000000,2506828,60.00000000,20170308
627579,11240.00000000,2507819,60.00000000,20170308
627584,14634.00000000,2506829,60.00000000,20170308
627589,7520.00000000,2507820,60.00000000,20170308
627594,9193.00000000,2508835,60.00000000,20170308
627599,11690.00000000,2506830,60.00000000,20170308
627604,7024.00000000,2506831,60.00000000,20170308
627619,7795.00000000,2507821,60.00000000,20170308
627624,10861.00000000,2507822,60.00000000,20170308
627629,7502.00000000,2507823,60.00000000,20170308
627634,8060.00000000,2507824,60.00000000,20170308
627639,5804.00000000,2506832,60.00000000,20170308
627644,5536.00000000,2507825,60.00000000,20170308
627649,10536.00000000,2507826,60.00000000,20170308
627654,9012.00000000,2507827,60.00000000,20170308
627674,5535.00000000,2506833,60.00000000,20170308
